user_id,text,label
1.50E+18,@Coopbankenya I'm very frustrated. Your scheduled maintenancesince Sunday affected my access to funds in mcoop cash. I've whatsapped and called you guys &amp; still no help. Surely......I need help now please,Negative
1.50E+18,@mbunzy001 @Coopbankenya Dm,Irrelevant
1.50E+18,@Coopbankenya Done,Irrelevant
1.50E+18,"@Coopbankenya having inboxed my issue and gotten no response, i am left with no option but to head to a coop branch tomorrow and just transfer funds to another bank...",Negative
1.50E+18,@CynthiaTheuri @Coopbankenya contact @AgentFemiTv to recover your hacked..banned or locked ..disabled..suspended ..locked account ..They are awesome 🤙🏻,Irrelevant
1.50E+18,"@CynthiaTheuri @Coopbankenya I don't know why a company like this keeps doing this to its users and have no solutions to it,  not to worry cause I know ultraplus_coding_1 on Instagram can help you retrieve your account very fast... they are awesome x",Irrelevant
1.50E+18,C8 on Tuesday 15th I couldn’t login into my account. Visited the umoja branch earlier today (16th) filled a form and was advised to wait for a msg. I received a msg and followed the prompts only to now get a msg that my account has been locked? What’s going on??,Inquiry
1.50E+18,@Coopbankenya this issue was ignored @CBKKenya,Irrelevant
1.50E+18,@Coopbankenya Check Dm..,Irrelevant
1.50E+18,"This is too much, no one responding, that's one way of loosing customers https://t.co/uKiD5zxJ2g",Negative
1.50E+18,@Coopbankenya Love co op bank,Positive
1.50E+18,"@Coopbankenya No response, check dm",Irrelevant
1.50E+18,@Coopbankenya Hey.. something wrong with mobile banking again,Negative
1.50E+18,@Coopbankenya Check DM,Irrelevant
1.50E+18,@mutua_mercie @Coopbankenya @diwageni Have the services resumed on your side,Irrelevant
1.50E+18,@Coopbankenya can be a nuisance. I have overstayed my visit!,Negative
1.50E+18,@Coopbankenya Respond to your inbox,Request
1.50E+18,@Coopbankenya The issue was sorted and all funds refunded back to my account thank you,Positive
1.50E+18,@Coopbankenya once again could you pls check your dms?,Request
1.50E+18,@Coopbankenya @jush2030 @StanChartKE Has the matter been resolved?,Inquiry
1.50E+18,@Coopbankenya How long does it take to update signatures? More than 3months since we opened an account yet can transact. Every time the same song signatures are not yet updated.,Inquiry
1.50E+18,@Coopbankenya Check DM and revert ASAP!,Request
1.50E+18,"@Coopbankenya kindly help, see DM",Request
1.50E+18,@Coopbankenya Nny mbaya na system zenu its really an emergency can you kindly work on them fast please,Negative
1.50E+18,@Coopbankenya How long does it take for you to do maintenance to your app?,Inquiry
1.50E+18,RT @Kenyans: Online business is the way to go for progressive owners. With @Coopbankenya's Chapa Pay you can easily get online payment and…,Irrelevant
1.50E+18,@Coopbankenya @Rriara Your services are shitty. Two days no response .,Negative
1.50E+18,@Coopbankenya Very slow to respond when I'm blocked from accessing my account for days now!!!!,Negative
1.50E+18,@Coopbankenya please help I’m didn’t receive the 6 digit code and im being told to put it,Inquiry
1.50E+18,@Coopbankenya why am I locked out of my own internet banking and you're not answering my DMs? Can you get back to me and fix this?!,Request
1.50E+18,"@Coopbankenya Hello.
I'm having challenges accessing my accounts via the new menu on Mcoop cash. Any help.

Danke!",Request
1.50E+18,"@tweetsbybilly @Coopbankenya Well,its got a reputation. I dont want to get into it. Sitaki heartburn this late in the night pls😅",Irrelevant
1.50E+18,@Coopbankenya_2 @Coopbankenya I already dm'd the verified account,Irrelevant
1.50E+18,"@Coopbankenya_2 @Coopbankenya, what's going on here????",Irrelevant
1.50E+18,@Coopbankenya kindly assist my internet banking is not working,Request
1.50E+18,@Coopbankenya please do let me know what i need to do to be served..,Request
1.50E+18,@Coopbankenya customer care is really infuriating!,Negative
1.50E+18,@Coopbankenya Check DM.,Request
1.50E+18,@Coopbankenya Please Check DM and Revert,Request
1.50E+18,RT @ngoboardkenya: We would like to thank all our panelists &amp; online participants for taking part in the second day of our webinar discussi…,Irrelevant
1.50E+18,RT @NathanielOchie3: @Coopbankenya @misangosam Am not getting  coop alerts fir deposits made to collection account. No response  to emails…,Negative
1.50E+18,"@Coopbankenya Your customer service is really wanting🤦
Kindly reply to my DMS and whatsapp",Negative
1.50E+18,"Hi @Coopbankenya, kindly check your DM",Request
1.50E+18,@SmoDav @NCBABankKenya @Coopbankenya Glad it all worked out for you!,Irrelevant
1.50E+18,@Coopbankenya could you check my dm please,Request
1.50E+18,@micmkash @NCBABankKenya @Coopbankenya 😂 spoken word hehe,Irrelevant
1.50E+18,@SmoDav @NCBABankKenya @Coopbankenya Utajuwa hujuwi. They can't even co-operate with others,Negative
1.50E+18,@micmkash @NCBABankKenya Kabisa kabisa. I moved the main accounts from @Coopbankenya to @NCBABankKenya   Imagine you need to make a payment and you can’t access any services 😒,Negative
1.50E+18,RT @ngoboardkenya: We would like to thank all our panelists &amp; online participants for taking part in the second day of our webinar discussi…,Irrelevant
1.50E+18,@Coopbankenya @kathukya_brian mine is still not working I visited my nearest  branch and I was told to wait so when are we expecting it to be up and running..,Negative
1.50E+18,@Coopbankenya check DM,Request
1.50E+18,RT @ngoboardkenya: We would like to thank all our panelists &amp; online participants for taking part in the second day of our webinar discussi…,Irrelevant
1.50E+18,"@Coopbankenya Kindly, check your DM",Request
1.50E+18,"@Coopbankenya I get this after the sytem upgrade earlier communicated. on visiting your branch, my id search pulls details that do not belong to me, names and phone number. so far i cannot access my transactions https://t.co/4bbjCoGf1D",Negative
1.50E+18,"@Coopbankenya Been trying to call you ever since!
I received credit advise through text but balance reads -2869.
What is happening to my account??!!!!!!",Negative
1.50E+18,@Coopbankenya kindly check DM please,Request
1.50E+18,"@Coopbankenya @weritabchi Been trying to call you ever since!
I received credit advise through text but balance reads -2869.
What is happening to my account??!!!!!!",Negative
1.50E+18,@Coopbankenya bank Uko nmehama. Kila transactions unakatwa pesa .Unnecessary credit alerts without even subscriptions they charge as well.,Negative
1.50E+18,@Coopbankenya Mcoop haifanyi 😏😏😓,Negative
1.50E+18,RT @ngoboardkenya: We would like to thank all our panelists &amp; online participants for taking part in the second day of our webinar discussi…,Irrelevant
1.50E+18,@Coopbankenya I have tried calling without success. Can I get assistance. My account is locked and I don't know why,Negative
1.50E+18,@Coopbankenya check DM and respond.,Request
1.50E+18,"@Coopbankenya what an inconvenience, 3 days now yet I have no access to any branch or agent. My only mode of transacting is usually via ussd Mcoop App.",Negative
1.50E+18,@zippy_mugure_ @Coopbankenya Imagine i went there physically  and they still had the same rubbish,Negative
1.50E+18,RT @mumaxxl: Withdrawing all my money from @Coopbankenya jana karibu wafanye nioshe vyombo its just that my mama understands me and she paid,Negative
1.50E+18,@Coopbankenya Still missing,Irrelevant
1.50E+18,@Coopbankenya did send you DM like 7hrs ago...no response,Negative
1.50E+18,"RT @Finance_501: JOB | Product Manager-Cash Management Sales | @Coopbankenya | Commercial Banking | Nairobi, KE | Degree in Business Admini…",Irrelevant
1.50E+18,@Coopbankenya Thanks. Initially missing account is now reflecting and can transact.,Positive
1.50E+18,@Coopbankenya Why is your mobile App disfunctional most of the times?,Negative
1.50E+18,@Coopbankenya is there something wrong with *667# i seem nt to be able to transfer funds from bank to mpesa,Negative
1.50E+18,@Coopbankenya note that since Sunday I am unable to access my account. This is business and I mostly use app and ussd . I have dm my account number,Negative
1.50E+18,@Coopbankenya That is what I have been doing since yesterday,Irrelevant
1.50E+18,@Coopbankenya @AMwangah Both the *667# and the *266# are also not working.... 😢,Negative
1.50E+18,@Coopbankenya maybe you should invest more on IT coz you APP #McoOpCash doesn't work almost every time!,Negative
1.50E+18,"@Coopbankenya  hi team, how can access my account online? Your app isn't working and on the ussd you removed one of my accounts",Negative
1.50E+18,@Coopbankenya experiencing delays in mcop mobile banking kindly check that. 0716933533,Negative
1.50E+18,@Coopbankenya I cannot Access Or Withdraw Money from My Coop account to my https://t.co/tSNfQYAb9A You understand Me Now?,Negative
1.50E+18,@Coopbankenya the USSD and app are telling to visit the branch to update?,Negative
1.50E+18,"@Coopbankenya @Calpahkaraba USSD isn't working as well,kindly check my DM",Negative
1.50E+18,@Coopbankenya why am I being asked to do this for mobile banking yet I never made the request? https://t.co/AapszgupCr,Inquiry
1.50E+18,RT @mumaxxl: Withdrawing all my money from @Coopbankenya jana karibu wafanye nioshe vyombo its just that my mama understands me and she paid,Negative
1.50E+18,RT @mumaxxl: Withdrawing all my money from @Coopbankenya jana karibu wafanye nioshe vyombo its just that my mama understands me and she paid,Negative
1.50E+18,@Coopbankenya Phone number not found,Irrelevant
1.50E+18,@Coopbankenya kindly check DM,Request
1.50E+18,@Kenyans @Coopbankenya Explain further,Request
1.50E+18,RT @Kenyans: Online business is the way to go for progressive owners. With @Coopbankenya's Chapa Pay you can easily get online payment and…,Irrelevant
1.50E+18,"@Kenyans @Coopbankenya Hello guys i just found an special application now you can mine Bitcoins Ethereum &amp; Dogecoin in your smartphone easily download the  app and earn lot off Bitcoins i have also earned 550$. instant.Hurray
https://t.co/ncWB5Y4lkL",Irrelevant
1.50E+18,@weritabchi @Coopbankenya After upgrade or downgrade the ×667#  responds with ...mobile number not recognized.bla bla bla...  I gave up.,Negative
1.50E+18,RT @weritabchi: @Coopbankenya But even the linked account is not accessible.,Negative
